city,geolocation_lat,geolocation_lng,transactions
aguas mornas,-27.695363785630786,-48.824898256913805,1
aguas vermelhas,-15.744199673094284,-41.46301308592789,1
agudo,-29.64132780145571,-53.23705863727485,1
agudos,-22.452442847943207,-48.98977139671902,2
aguia branca,-18.984871448404316,-40.73945314743138,1
aimores,-19.49473402796823,-41.07024195222018,2
aiuaba,-6.681411746869731,-40.083475621279845,1
aiuruoca,-21.980415669844405,-44.60631653119611,1
ajuricaba,-28.238124447645266,-53.769646170631695,1
alagoa,-22.17391071187777,-44.64586957650184,1
alagoa grande,-7.037427716533435,-35.62979886985079,1
alagoa nova,-7.060265930796496,-35.755396476341325,1
alagoinha,-6.947982726422446,-35.54495800976266,1
alagoinhas,-12.136252819638555,-38.42003184003603,9
alambari,-23.568092855750987,-47.88939111855584,1
alcantara,-2.404971524844057,-44.41769474127628,1
alcinopolis,-18.328193490816826,-53.71363198694217,1
alcobaca,-17.311654999999945,-39.63244499999996,2
alegre,-20.758855635133408,-41.53546035543066,3
alegrete,-29.791427647035665,-55.79019356874688,1
alegrete do piaui,-7.243851021384939,-40.85762441802442,1
alegria,-27.82856114642677,-54.05627715056851,1
alem paraiba,-21.865605010277122,-42.70586701424654,1
alexandra,-25.55118285932953,-48.626543799559336,1
alexandria,-6.399482171298861,-38.01853582557377,1
alexandrita,-19.69701256459266,-50.45738026452868,1
alexania,-16.07894583238036,-48.51634933675774,1
alfenas,-21.419755199599233,-45.949230835017524,4
alfredo chaves,-20.63564596381401,-40.749096999405005,1
alfredo marcondes,-21.954653240904804,-51.41971584278843,1
alfredo vasconcelos,-21.14623178309053,-43.76261472192172,1
alfredo wagner,-27.701350555128187,-49.33459795584936,1
alhandra,-7.424419818893402,-34.91045276838518,1
alianca,-7.600865057650731,-35.22801632892964,1
alianca do tocantins,-11.304658340172317,-48.93832503222829,1
almas,-11.561308527526544,-47.168650279901456,1
almenara,-16.186824121841305,-40.69161218605689,1
almino afonso,-6.157758437798741,-37.76681682352295,1
almirante tamandare,-25.33385801089602,-49.284125960816745,1
almirante tamandare do sul,-28.139087999999944,-52.91662849999996,1
alpercata,-18.95538519185513,-41.95752750724665,1
alpestre,-27.25215739922784,-53.031787250701946,1
alpinopolis,-20.871099247582567,-46.39264799098766,1
alta floresta,-9.860566767287835,-56.090677116367935,1
alta floresta d'oeste,-11.924891695655363,-62.00271381852548,1
altamira,-3.20595897108604,-52.21209260063288,4
altamira do parana,-24.801782623093032,-52.71594547080467,1
altaneira,-6.998786597235944,-39.7399246801677,1
alterosa,-21.24872699575455,-46.14277511456817,1
altinho,-8.487249302308262,-36.06124155479698,1
altinopolis,-21.017096447298147,-47.38948762712411,1
alto alegre,-24.85862032254876,-52.255086925498006,1
alto alegre do iguacu,-22.896711706478506,-51.8908414339614,1
alto alegre do maranhao,-4.218598229864456,-44.44874597259727,1
alto alegre do pindare,-3.6666985993633183,-45.84418866209721,1
alto araguaia,-17.31333146270827,-53.22048330520097,2
alto boa vista,-11.672235434747334,-51.37828852559496,1
alto caparao,-20.44051809081217,-41.86617299999999,1
alto do rodrigues,-5.28795069785962,-36.76305719547753,1
alto garcas,-16.944486323891155,-53.52314557669081,1
alto horizonte,-14.195966967713574,-49.33496921992791,1
alto jequitiba,-20.42425400203235,-41.96511962279706,1
alto paraiso,-16.609843732716932,-58.523921967182375,1
alto paraiso de goias,-14.134031989630474,-47.51351624236543,2
alto parana,-23.132700277025453,-52.31974206630135,1
alto parnaiba,-9.112023398351866,-45.93318002372552,1
alto piquiri,-24.030011266675675,-53.44690926831338,1
alto rio doce,-21.02395957889596,-43.408157186541416,1
alto rio novo,-19.05726560399876,-41.01760299031785,1
alto santo,-5.520457245470628,-38.27143100905873,1
alto taquari,-17.828886369455198,-53.286806585326936,1
altonia,-23.87187862242288,-53.90062937414095,1
altos,-5.046021758936793,-42.44861075624933,1
aluminio,-23.51736771076844,-47.26079094034855,3
alvarenga,-19.419939705930005,-41.72833903675876,1
alvares florence,-20.320578992887047,-49.90769272970769,1
alvares machado,-22.077668074421375,-51.46934116980048,1
alvaro de carvalho,-22.08507289302314,-49.71659283644181,1
alvinopolis,-20.10751433999627,-43.05751404000866,1
alvorada,-28.132895154034536,-50.86014190064491,5
alvorada d'oeste,-11.35260070889819,-62.28468336460854,1
alvorada do gurgueia,-8.455556999999946,-43.978332499999965,1
alvorada do norte,-14.483691055313733,-46.4893968318824,1
amambai,-23.095537793758137,-55.23559163402688,1
amanari,-3.504514941264218,-39.57289793990247,1
amapa do maranhao,-1.6732576653020137,-46.01030262739159,1
amapora,-23.096977141561467,-52.78281460798768,1
amaraji,-8.382198401987715,-35.45034741596354,1
amarante,-6.249830263775127,-42.85098995177482,1
amargosa,-13.03265683265314,-39.589148023011965,1
amelia rodrigues,-12.397047026593333,-38.756623795015,1
america dourada,-11.455907771291734,-41.43758544002722,2
americana,-22.74029822818404,-47.32812785073755,14
americano do brasil,-16.24862100297746,-49.981903406278896,1
americo brasiliense,-21.732666116112245,-48.11197116622274,4
americo de campos,-20.300442551848207,-49.73670632642024,1
ametista do sul,-27.37302039403271,-53.16733955629038,1
amontada,-3.3622239743473004,-39.83323645071004,1
amparo,-22.709877377368013,-46.77930133422745,4
amparo da serra,-20.51096008284088,-42.79541064355066,1
ampere,-25.90304171673461,-53.46746806886996,1
anadia,-9.682726142510177,-36.30282096257622,1
anage,-14.610353818028177,-41.13256492460093,1
analandia,-22.12626771146922,-47.66165228278019,2
ananas,-6.375691732844389,-48.07020541434753,1
ananindeua,-1.3656623091689195,-48.40386382250832,11
anapolis,-16.329828633959835,-48.947801627105164,7
anastacio,-20.49526145111812,-55.80300727828307,1
anaurilandia,-22.18112220844755,-52.71628359487349,1
anchieta,-21.81554228413574,-42.88690583321089,2
andarai,-12.805799274074394,-41.33381531066535,1
andira,-23.059624029607928,-50.223081823611544,1
andorinha,-10.345014304318816,-39.8364493454778,1
andradas,-22.07406456966723,-46.5864399743845,2
andradina,-20.90515653359291,-51.36872555232371,1
andre da rocha,-28.63235819903258,-51.573247145680746,1
andrelandia,-21.741918237887045,-44.31411985816899,2
andrequice,-18.25622999999996,-45.06661999999994,1
angatuba,-23.483825381746723,-48.42423504843037,2
angelica,-22.16152225038499,-53.7823166726343,1
angelina,-27.58579602024569,-48.98403659704282,1
angical,-12.007854519145162,-44.70023526385971,1
angical do piaui,-6.075874808145999,-42.73595617651903,1
angicos,-5.67250868145745,-36.60113737007725,1
angra dos reis,-22.99279483894449,-44.35158575601865,13
anguera,-12.146069999999952,-39.24499499999996,1
angulo,-23.19824705260966,-51.915935832171805,1
angustura,-21.86628870637954,-42.70181766494,1
anhandui,-20.980792538850324,-54.50364919235629,1
anhembi,-22.78982850837322,-48.128948137384256,1
anhumas,-22.29750672007285,-51.38926405758557,1
anicuns,-16.46588114280217,-49.95539787351219,1
anita garibaldi,-27.688010028631528,-51.12997927501305,1
anitapolis,-27.909599359484886,-49.13261919315861,1
anta,-22.83698630688203,-43.264587256204344,1
anta gorda,-28.97100977026169,-52.021068899057695,1
antonina,-25.434288731566333,-48.71656095355144,1
antonina do norte,-6.774548977235152,-39.98777406829451,1
antonio cardoso,-12.437923873440552,-39.12078904584024,1
antonio carlos,-25.444117704797183,-47.09231400777036,1
antonio goncalves,-10.573354056181682,-40.27540608558596,1
antonio martins,-6.215352260250222,-37.886114523580304,1
antonio pereira,-20.28905180518193,-43.47553634220103,2
antonio prado,-28.848240941404573,-51.2732901537686,1
antonio prado de minas,-21.017055014926697,-42.1109593447498,1
antunes,-19.90776176959649,-44.70075783101499,1
aparecida,-22.851929577500997,-45.2303107461378,2
aparecida d'oeste,-20.44970571219513,-50.88403697743395,1
aparecida de goiania,-16.774272505159157,-49.272166259850074,7
aparecida de monte alto,-22.954083164763475,-46.53141327747673,1
aparecida de sao manuel,-22.732593963519456,-48.61689385572671,1
aparecida do rio negro,-9.94940384269379,-47.97747007501624,1
aparecida do taboado,-20.075907019101248,-51.099754197904936,2
aperibe,-21.621894895181935,-42.10129524956613,3
apiaca,-21.15709213056911,-41.56442773822537,1
apiai,-24.47346038077872,-48.75588890754042,2
apiuna,-27.104285999999945,-49.37637049999996,1
apodi,-5.660320359662493,-37.79926594271187,3
apora,-11.716065903961772,-38.227774780029016,2
apore,-18.96222958952667,-51.92614292887569,1
apucarana,-23.55422112178674,-51.45694894740416,3
apuiares,-3.946564854259543,-39.43058266592365,1
aquidaba,-10.285805976977402,-37.01856525185625,1
aquidauana,-20.482308076210572,-55.79218937991555,1
aquiraz,-3.901738499999997,-38.38465799999999,1
aracaju,-10.951891596213272,-37.06893208391787,30
aracariguama,-23.432149137521776,-47.06714458276622,1
aracati,-4.562180013655127,-37.766624752819546,3
aracatu,-14.42486356982162,-41.45314939171246,1
aracatuba,-21.206629436486608,-50.44734998843637,2
arace,-20.3800154897608,-41.02942535127866,4
araci,-11.333835727378665,-38.96082896750912,1
aracitaba,-21.34250161653583,-43.37692882204776,1
aracoiaba,-5.737722630860734,-37.322511132008415,1
aracoiaba da serra,-23.511644999999998,-47.56751100000001,1
aracruz,-19.848415364804453,-40.23077580248963,6
aracuai,-16.847978985252265,-42.06897454424318,2
aragarcas,-15.898984403886615,-52.24964617962207,1
aragoiania,-16.91336857887462,-49.4504022733276,1
araguacu,-12.930765415274008,-49.82523470005852,1
araguaia,-20.2609019363496,-40.39030591437624,1
araguaina,-7.194178560502827,-48.20915011815557,8
araguana,-2.952737167018079,-45.66704288783299,1
araguapaz,-15.095941725539806,-50.62738182019744,1
araguari,-18.644308787240764,-48.19706721796389,3
araguatins,-5.655589947870239,-48.124299952552654,1
aramari,-12.104527041328868,-38.49751598252456,3
arame,-4.883800148925197,-46.0097005449658,1
aramina,-20.08452659658634,-47.79314080508277,2
arandu,-23.135056935295378,-49.04925970524827,1
arantina,-21.916026,-44.246947500000005,1
arapei,-22.671984270072414,-44.44834126039903,1
arapiraca,-9.750970789351944,-36.65531391283693,4
arapoema,-7.655868756501944,-49.06696719192583,1
araponga,-20.66748747514089,-42.51919653314548,1
arapongas,-23.404021220433236,-51.43439675885309,5
arapora,-18.43150846175249,-49.18426221598912,1
arapoti,-24.144455249848644,-49.817933542923306,1
arapua,-19.034338896786643,-46.15534648824968,1
araputanga,-15.470231619837609,-58.35391782474653,1
araquari,-26.41727564722273,-48.756934054286376,3
arara,-6.826642386160112,-35.75993617605351,1
ararangua,-28.938101086681343,-49.486335397951386,1
araraquara,-21.78165636686102,-48.17263571947593,8
araras,-22.360160523105552,-47.37442792980491,6
arari,-3.4390567312270948,-44.77454813383953,1
ararica,-29.61265607145342,-50.92736417492653,1
araripe,-7.210015534368635,-40.1383226385236,1
araripina,-7.576218497732113,-40.5031974130007,1
araruama,-22.871874606599253,-42.26921988909438,9
araruna,-20.45379541898547,-49.14595655408915,1
arataca,-15.261146540590303,-39.4099324907753,1
aratiba,-27.394720843146818,-52.30114616361225,1
aratuba,-4.41983119311703,-39.044931993293694,1
araucaria,-25.58308397171686,-49.38843109255391,5
araujos,-19.948863062600463,-45.1703970166306,1
araxa,-19.595903349587946,-46.94162012041184,10
arceburgo,-21.36382357197041,-46.934383053735424,1
arcos,-20.28920279534161,-45.54189584918569,2
arcoverde,-8.41866932183829,-37.05634022265571,2
areado,-21.363829214989323,-46.15311401204079,1
areal,-22.266851357697767,-43.10756875064741,1
arealva,-22.0323247944559,-48.90920500612332,1
areia,-6.9666820403891,-35.70005660745292,2
areia branca,-4.960484566241286,-37.13433881403624,1
areia branca dos assis,-22.678096897080774,-50.43693038601961,3
areial,-7.05058135530406,-35.92508271458427,1
areias,-22.5814978697878,-44.6995162923868,1
areiopolis,-22.67471202111277,-48.66536891779858,1
arembepe,-12.7621161537852,-38.18152285695949,2
arenapolis,-14.45975756874911,-56.84253192275758,1
arenopolis,-16.385533852402578,-51.55801057721951,1
arinos,-15.904068315827542,-46.09864010513806,1
aripuana,-10.183051185305056,-59.4415930229955,3
ariquemes,-9.898942179857906,-63.03723696900646,2
ariranha,-21.191193688166223,-48.788096928634985,1
armacao dos buzios,-22.765556142540742,-41.89927673881432,13
armazem,-28.262298133122105,-49.01626218912277,1
arneiroz,-6.3289000055109454,-40.154823446386686,2
aroeiras,-7.546350308742923,-35.70837675825085,2
arraial d ajuda,-16.479875083168082,-39.06744873629765,1
arraial d'ajuda,-16.48006288480821,-39.06740132856377,2
arraial do cabo,-22.960371447400345,-42.025042964885486,5
arraias,-12.93211432700618,-46.943266532555946,1
arroio do meio,-29.397391185321403,-51.94814111119285,1
arroio do sal,-29.483800991789117,-49.83993538512622,1
arroio do tigre,-29.33866938896504,-53.090458978536525,1
arroio dos ratos,-30.09441938862547,-51.72668259465461,1
arroio grande,-32.23127877889086,-53.083934586255104,2
arroio trinta,-26.93111132827164,-51.3340498507086,1
arrozal,-22.598629169792236,-44.03547121718152,1
artur nogueira,-22.55912048067577,-47.16516839542561,1
aruana,-14.930075064294604,-51.06859588038342,1
aruja,-23.398018138658472,-46.31947037128756,1
arvoredo,-27.073677924846148,-52.46063391683467,1
arvorezinha,-28.87262510202068,-52.17938515160991,1
ascurra,-26.953068042841984,-49.37177204129655,2
assai,-23.37983552183189,-50.848454348243486,2
assare,-6.874073100203601,-39.87014253245559,1
assis,-22.657875554574055,-50.41615732318261,2
assis chateaubriand,-24.39150512200761,-53.511813426821384,2
assuncao,-7.074359265284382,-36.734532841839446,2
astolfo dutra,-21.31561828851855,-42.867365350916536,2
astorga,-23.237638977651507,-51.66808528142622,1
atalaia,-9.50500165962754,-36.02048157613924,1
atalanta,-27.4212965648172,-49.78344578639111,1
ataleia,-18.039928640832454,-41.11079357543488,1
atibaia,-23.126760567793056,-46.558029758468145,9
atilio vivacqua,-20.914312443621142,-41.19487140907632,2
augustinopolis,-5.473586148014865,-47.89170459982213,1
augusto correa,-1.0198912969955858,-46.63320432086872,1
augusto pestana,-28.514978216755537,-53.99252795510896,1
aurea,-27.69722350739536,-52.055877900089214,1
auriflama,-20.68604093423175,-50.55347736946948,1
aurilandia,-16.678201199917385,-50.46366427849526,1
aurora,-15.09201520634024,-43.236641903962024,1
aurora do para,-2.1349964183884347,-47.55940238929005,1
avanhandava,-21.457186960374745,-49.93831891323017,1
avare,-23.099107346536186,-48.92061763823708,5
avelar,-22.317290526360548,-43.40521798807556,2
avelino lopes,-10.201871999999945,-43.96169149999997,1
azurita,-20.00856971949226,-44.47163294541142,3
bacabal,-4.240122757906229,-44.786714105913,1
bacuri,-1.7278829589999705,-45.14684444337454,1
bady bassitt,-20.9245222402303,-49.45780155372427,1
baependi,-21.95631,-44.88237878813617,1
bage,-31.328426719548023,-54.09880354158349,7
baianopolis,-12.305761847650334,-44.53999102974285,1
baixa grande,-11.96001379433932,-40.1657216571835,1
baixa grande do ribeiro,-7.864803509952608,-45.21117488286422,1
baixo guandu,-19.516289537951437,-41.00621706648061,1
balbinos,-21.90458849204745,-49.36042824669762,1
baldim,-19.28653347812368,-43.95709942241093,1
balneario arroio do silva,-28.9805739228165,-49.40528215258,1
balneario barra do sul,-26.459915918008488,-48.62031401150022,1
balneario camboriu,-26.99567222042861,-48.63328349655098,15
balneario gaivota,-29.16396776064361,-49.582367380321806,1
balneario picarras,-26.735423912159256,-48.68237146136846,2
balneario pinhal,-30.256838757580205,-50.238078180008145,1
balneario rincao,-28.827000128679675,-49.22669776740313,2
balsa nova,-25.5870663114133,-49.633257191575794,1
balsamo,-20.733233092850437,-49.58874536520347,1
balsas,-7.511492507642971,-46.047036538214876,5
bambui,-20.00773349999999,-45.97875450000001,2
banabuiu,-5.300622587702005,-38.92089896010024,1
bananal,-22.681822130220606,-44.31777546316097,1
bananeiras,-6.755011128517376,-35.63785855710437,2
bandeira,-15.884554499999998,-40.56399449999999,1
bandeira do sul,-21.734457472476837,-46.38508967245923,1
bandeirantes,-22.895042397961845,-50.657748820896664,1
bandeirantes d'oeste,-23.106241494540207,-50.377957047095386,1
bandeirantes do tocantins,-7.762561089019623,-48.58056269248109,1
banzae,-10.58749643868953,-38.60988475518552,2
barao,-29.37456675959352,-51.499057560833336,1
barao ataliba nogueira,-22.393696899359803,-46.75244956798473,1
barao de cocais,-19.932704332340638,-43.48527861588374,1
barao de cotegipe,-27.620338197759114,-52.37996726901383,1
barao de juparana,-22.33974331584391,-43.6784728365046,1
barao do triunfo,-30.393111135410116,-51.73629403350633,1
barauna,-5.084799038512361,-37.609133491651455,1
barbacena,-21.230414497072545,-43.75525348470815,5
barbalha,-7.314259964575112,-39.30379683942272,3
barbosa ferraz,-24.02810801846768,-52.00953010663331,1
barcarena,-1.5071125078676977,-48.62143344402136,2
bariri,-22.08770092098371,-48.74765705878391,1
barra,-11.090032261761426,-43.140657823476445,2
barra bonita,-22.48608552666121,-48.54744966913902,2
barra da estiva,-13.62636766783736,-41.3233317374824,1
barra de guabiraba,-8.416903499999998,-35.66146724999999,1
barra de santa rosa,-6.730283404876338,-36.053449073312834,1
barra de santo antonio,-9.403298910346338,-35.51051351041828,1
barra de sao francisco,-18.752200787508233,-40.89226639288907,1
barra de sao joao,-22.576493693936694,-41.98699034043618,2
barra de sao miguel,-9.838684355713534,-35.89596559633788,1
barra do bugres,-15.067845786572343,-57.18876611000515,1
barra do choca,-14.859441898306486,-40.5734482146653,1
barra do corda,-5.50855401748567,-45.23964287233554,1
barra do garcas,-15.877378604324875,-52.230890165413854,1
barra do jacare,-23.11527383783278,-50.17926898432253,1
barra do mendes,-11.805968085379076,-42.05890824106461,1
barra do pirai,-22.47235149598159,-43.82055003904361,5
barra do ribeiro,-30.302643881668438,-51.317773442087216,1
barra do rio azul,-27.40990226612165,-52.41469901542163,1
barra do tarrachil,-13.00910117780522,-38.525978987269255,2
barra do turvo,-24.75567196941544,-48.50634725056389,2
barra dos coqueiros,-10.943916699019448,-37.032897193365166,3
barra longa,-20.283772009388837,-43.04455407287914,1
barra mansa,-22.542058235354745,-44.17643647236108,18
barra velha,-26.7090985599167,-48.693691796109995,4
barracao,-27.20302183434678,-52.17911194593038,1
barras,-4.242819182226259,-42.295534696116334,3
barreira,-4.292686814482221,-38.637656402685465,1
barreiras,-12.145638218947843,-44.99375850057555,4
barreirinhas,-2.75634402523861,-42.82153112196525,1
barreiros,-8.815640338548715,-35.19146664451371,1
barretos,-20.562042346066953,-48.57280053494872,2
barrinha,-21.18236006825793,-48.1582267067722,3
barro,-7.1794940465592685,-38.77925355434181,2
barro alto,-12.830544681960582,-44.24774693405575,1
barro preto,-14.808127007425885,-39.47281495136804,1
barrocas,-11.532568563832422,-39.077498907212366,1
barrolandia,-9.83521114808075,-48.726039600499824,1
barros cassal,-29.090197963486236,-52.58561342642389,1
barroso,-21.189776579896712,-43.97438376637962,2
barueri,-23.506404465560887,-46.869469223482476,17
bastos,-21.92576605362672,-50.74077415347186,1
bataguassu,-21.717182442785404,-52.42237346425371,1
bataipora,-22.29554676050089,-53.27084725574992,1
batalha,-9.67544671932256,-37.12468028561955,1
batatais,-20.886174694700305,-47.59434113509064,2
bataypora,-22.297625865019285,-53.2686313802315,1
baturite,-4.331402612273032,-38.88073575131685,1
bauru,-22.3261100157847,-49.065911688884654,8
bayeux,-7.125117959551537,-34.92107872499132,1
bebedouro,-20.961902655541113,-48.53265371658729,3
beberibe,-4.185336292808475,-38.12832286276939,2
bela cruz,-3.061693817369852,-40.16599214193892,1
bela vista,-22.104589690944792,-56.5438909704719,1
bela vista de goias,-16.969154699584582,-48.960109705837674,1
bela vista de minas,-19.82771039205504,-43.09300983637606,1
bela vista do maranhao,-3.741020455919547,-45.25141752424407,2
bela vista do paraiso,-22.990428106303906,-51.19440140419306,1
belem,-1.4699059442424791,-48.385749589441865,39
belem do sao francisco,-8.75242794524902,-38.9638949490912,1
belford roxo,-22.739276031143596,-43.38427639732587,8
belmonte,-21.352602631767116,-46.2288513211747,1
belo campo,-15.038867068690836,-41.26035878896956,1
belo horizonte,-19.908789379341563,-43.95621645906759,138
belo jardim,-8.335673861960322,-36.424705073387365,1
belo oriente,-19.31444373865911,-42.505932857865226,1
belo vale,-20.41043473207754,-44.0298187779761,1
benedito leite,-7.220023546986817,-44.55558919863966,1
benedito novo,-26.775134152676948,-49.41645386388922,1
benevides,-1.365107144456334,-48.26293309908216,2
bento de abreu,-21.270726224626276,-50.81072235725438,1
bento goncalves,-29.164339332667023,-51.51231961165489,2
bequimao,-2.452665641160311,-44.78653949510694,1
berilo,-16.94776404859762,-42.46079931170521,1
berizal,-15.609681816705162,-41.737729091647424,1
bernardino de campos,-23.01491589766684,-49.47322146026575,1
bertioga,-23.828340100753525,-46.14301738326524,5
bertolinia,-7.6415814797654145,-43.95393890334598,1
bertopolis,-17.058446638634734,-40.57122525899156,2
betim,-19.953570291323935,-44.165425471668485,12
bezerros,-8.229795354769395,-35.7543129536442,1
bias fortes,-21.60267605103025,-43.75682549999999,1
bicas,-21.726530297086907,-43.067831274769155,1
biguacu,-27.500290504666918,-48.66106068137615,6
bilac,-21.40186889828731,-50.46893417825944,1
birigui,-21.29302922079469,-50.338729290858595,4
biritiba-mirim,-23.57008193163772,-46.043320961112215,1
biritinga,-11.61500057411008,-38.80774752856322,1
bituruna,-26.15574248986108,-51.56711222294422,1
blumenau,-26.89794206599379,-49.091422662295535,10
boa esperanca,-20.44685225150239,-43.93114201239338,2
boa esperanca do iguacu,-25.636575922786463,-53.21359392893352,1
boa esperanca do sul,-21.998055203292065,-48.38377561011862,2
boa ventura,-21.207949118544864,-41.88977443369495,1
boa viagem,-5.123454407233237,-39.73101418114105,2
boa vista,2.8194522029033133,-60.69939716313238,6
boa vista da aparecida,-25.445289813645804,-53.40647333423502,1
boa vista das missoes,-27.65865555794589,-53.31731987682539,1
boa vista do burica,-27.67103616728154,-54.10994624326855,1
boa vista do cadeado,-28.577118756379143,-53.81287365157398,1
boa vista do gurupi,-1.7995776157177563,-46.31335612243206,2
boa vista do sul,-29.3463847125755,-51.67421310451108,1
boca da mata,-9.64243344854664,-36.21874341424441,1
bocaina,-19.97538818223966,-47.49764318960534,1
bocaiuva,-17.126574817685402,-43.81059822795839,1
bocaiuva do sul,-25.21439321936113,-49.11148701241143,1
bodo,-5.989215443963154,-36.41210259454984,1
bodoco,-7.778843905106957,-39.9358762622323,1
bodoquena,-20.548919096969858,-56.67547900606177,1
bofete,-23.108459384738463,-48.256121730784905,2
boituva,-23.279657630556585,-47.661856575414284,2
bom conselho,-9.171474107786908,-36.68549070545152,1
bom despacho,-19.74074058834446,-45.25452490731862,1
bom jardim,-20.09139811557461,-42.19087876851594,3
bom jardim de goias,-16.203083631387916,-52.17402408729853,1
bom jardim de minas,-21.939113999999947,-44.11997899999997,1
bom jesus,-17.420139094728274,-48.90459741362917,1
bom jesus da lapa,-13.251812618320896,-43.418555625426784,1
bom jesus da penha,-21.015506613603502,-46.51741158507354,1
bom jesus da serra,-14.372868899886312,-40.50664697115248,1
bom jesus das selvas,-4.485116165862014,-46.85334685001349,1
bom jesus do amparo,-19.711924938095745,-43.47856660786325,1
bom jesus do araguaia,-12.235174031935014,-51.70943283058474,1
bom jesus do galho,-19.57747004179166,-42.46687478773504,1
bom jesus do itabapoana,-21.14043400563717,-41.67990945229966,4
bom jesus do norte,-21.125060825696945,-41.6662679324849,1
bom jesus do sul,-26.197267430242395,-53.597638029687296,1
bom jesus do tocantins,-5.0499722168150765,-48.59785300543192,1
bom jesus dos perdoes,-23.115438,-46.485913500000024,2
bom principio,-29.49470930596973,-51.3629700692972,2
bom repouso,-22.469555435520803,-46.147499622809576,2
bom retiro,-27.798802210257072,-49.487725593260976,1
bom retiro do sul,-29.60436365128596,-51.93872728006997,1
bom sucesso,-21.56073432541848,-46.15391801331665,1
bombinhas,-27.14294161449015,-48.50728684609615,2
bonfim,-15.590584805861019,-47.35773742336765,1
bonfim paulista,-21.185944576067467,-47.81498292186677,2
bonfinopolis,-16.582025999999946,-48.98971249999997,1
bonfinopolis de minas,-16.564400117713785,-45.98198595939098,1
boninal,-12.705754721441645,-41.830122157825066,1
bonito,-14.0033069918314,-47.51041125126064,4
bonito de minas,-15.32082592034456,-44.75692593211301,1
bonito de santa fe,-7.313537566603111,-38.51404478025783,1
boqueirao do leao,-29.30263901903529,-52.42872858803613,1
boquira,-12.829298119721413,-42.73219378300494,1
boraceia,-22.19099798512844,-48.77659943384667,1
borborema,-21.615059587468956,-49.0749430387662,1
borda da mata,-22.26409356996643,-46.15856420525942,1
borrazopolis,-23.942353548580904,-51.58220606940578,1
bossoroca,-28.726787252797237,-54.90888849039674,1
botelho,-23.6467133119626,-46.73416647224307,1
botelhos,-21.647835407465777,-46.39422365513177,1
botucatu,-22.878501684739252,-48.45017045152977,4
botupora,-13.377568510205474,-42.52887156986038,1
botuvera,-27.199110666390222,-49.07334536161303,1
braco do norte,-28.27354928978743,-49.16896410025291,1
